Amendment No,#Pages,Sponsor,Affected Sections,What Does it Do?,Good/Bad/Questions/Vague/NA,Comments
97,3,Liz Walsh,Chapter 9: Supporting Infrastructure: page 24. • Chapter 11: Implementation: page 55.,"Adds a new Implementing Action to INF-4 Policy Statement to the
APFO Committee examine APFO with respect to the County’s
Hospital.",Good,"use of ""large parcels"" for indoor and outdoor athletic facilities throughout the county. Hosting events for out of town hospitality industry"
98,5,David Yungmann,"Chapter 9: Supporting Infrastructure, pages 26 and 28. Chapter 9: Supporting Infrastructure, insert a new page 26.1. • Chapter 11: Implementation, page 55.
","Adds a new Implementing Action in Policy Statement INF-5 for
the County to explore the development of a commercial athletic
facility",Questions,This change seems very targeted and with a project in mind.
99,5,Liz Walsh,Chapter 8: Public School Facilities: 14 and 18; • Chapter 11: Implementation: 51.,"- Creates a new PS-1 Policy Statement to ensure the integrity of HCPSS and DPZ data and creates associated Implementing Actions to direct third party audits of historic HCPSS and DPZ projections and direct third party audits of HCPSS and DPZ data sets; and 
- Amends the existing PS-1 Policy Statement Implementing Actions to remove the two Implementing Actions and substitute Implementing Actions to direct the APFO Committee to develop recommendations as to how to realign geographic bounds of planning areas, direct the APFO Committee to develop recommendations as whether the APFO school waiting periods should be linked to whether school capacity exists or is projected to exist, coordinate with HCPSS capital planning, budgeting and site acquisition efforts to make timely use of strategic infill development opportunities in character areas, and coordinate with HCPSS so that school capacity exists for expected students residing in activity centers",Good,
100,25,Deb Jung,"Chapter 6, Dynamic Neighborhoods: 6, 11, 13, 21, 22, 25, 36, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 50, 51, 54, 57, 60, and 65; and Chapter 11: Implementation: 36, 37, 38, 39, and 41.","Eliminate narratives that advance unmitigated residential development leading to overcrowded schools while not addressing affordablity. Adds implementing actions that require parking considerations for ADUs, home ownership to households making less that 60% AMI, and requirement to adhere with APFO.",Good,use of transfer tax to fund schools
101,2,Deb Jung,Chapter 8: Public School Facilities: 27,"This Amendment amends HoCo by Design Chapter 8: Public School Facilities to remove a
reference to recent increases in the Transfer Tax and Public Schools Facility Surcharge and
substitute that increasing the percentage designated for school capital projects will assist the
school district in meeting its needs",Good,
102,,Deb Jung and Liz Walsh,,"Amendments dealing with improving access to public transportation, reporting requirements of Transportation Demand Management programs, improving pedestrian safety, funding more emissions-free vehicles.",Good,
103,,Liz Walsh,,"- Amends the EH-2 Policy Statement to integrate climate change
mitigation goals into programs receiving County funds and
amends the Implementing Actions to accelerate implementation
of the Howard County Climate Action Plan and ensure County
agency policies align with the plan, eliminate waivers and
alternative compliances of regulations protecting natural
resources, adopt the most current standards of the Green
Building requirements, accelerate inclusion of on-site renewable
power generation at appropriate locations, and refuse
permitting to expand or extend fossil fuel infrastructure;
- Amends the EH-5 Policy Statement Implementing Actions to
accelerate completion of the flooding vulnerability assessment
and revise capital project priorities accordingly and accelerate
the use of green stormwater infrastructure; and
- Amends the EH-11 Policy Statement Implementing Actions to
require the County to incorporate environmentally sensitive site
development and property management practices on County
properties.",Good,
104,,Deb Jung,,"Amends the PS-3 Policy Statement Implementing Actions to add a
revision of the Zoning Code to consider school capacity when
granting ZRAs and in cases before the Zoning Board",Good,
105,,Liz Walsh,,"-Removes the EH-13 Policy Statement and Implementing Action;
and
- Adds the Policy Statement and Implementing Action that were
removed from Chapter 3 as a new EP-14 Policy Statement and
Implementing Action.)",,
106,,Deb Jung,,"Evaluate data on existing school conditions, and remove an evaluation of
the life cycle of new and existing neighborhoods to better
understand student growth; and
- Amends the MG-1 Policy Statement Implementing Actions to
remove an evaluation and amendment of APFO standards for
transportation adequacy.)",Good,
107,,Deb Jung,,Adds a statement about redeveloped areas setting aside spaces for recreational activities and open spaces to the fourth Implementing Action to INF-5 Policy Statement,Good,
108,,Deb Jung,,"Adds a new Policy Statement and Implementing Actions as CIM10 which considers ways to reduce the impacts of noise and air
pollution generated by air travel and ensure that future
residential development addresses those evolving conditions",Good,
109,,Liz Walsh,,Adds a statement about deer management in residential and recreational areas to the seventh Implementing Action to EH-7 Policy Statement.,Good,
110,,Liz Walsh,,"Adds a new Implementing Action to EH-9 Policy Statement about
new agricultural zoning districts. Specifically to define and apply one or more new zoning districts specific to agricultural use
and preservation.",Good,
111,,Liz Walsh,,Adds two statements about eliminating surface runoff.,Good,
112,,Liz Walsh,,"Adds a statement about eliminating State Forest Conservation
waivers and alternative compliances to the second Implementing
Action to EH-2 Policy Statement",Good,
113,,Liz Walsh,,"Amends the EH-7 Policy Statement Implementing Actions to
accelerate implementation of the recently amended State Forest
Conservation Act, amend the Act to exceed State minimum
standards, and report annually on fee-in-lieu activities and
establish specified goals for forest interior habitats.",Good,
114,,Deb Jung,,"Amends DN-6 Policy and Implementing Action 6 in Table 10-1:
Implementation Matrix by adding a new Implementation Action
6: “Explore ways to allow homeowners in the County’s moderate
income home ownership program to realize market appreciation
in their homes as a means to building generational wealth.",Good,
115,,Deb Jung,,"Amends the “Opportunities to increase the Supply of IncomeRestricted Housing Units section of the DN-4 Policy Statement by
deleting the second sentence in the third paragraph and adding
language concerning the ability of developers to pay a fee-in-lieu
(FIL) which can result in economic segregation and requiring
that developers use specified Missing Middle housing prototypes
that will alleviate the need to build off-site and provide a greater
socio-economic balance",Good,
116,,,,,,
